X,name
1528,Dannie
1530,Dannielle
1531,Danny
1532,Dante
1533,Danuta
1534,Danyel
1535,Danyell
1536,Danyelle
1537,Daphine
1538,Daphne
1539,Dara
1540,Darby
1541,Darcel
1542,Darcey
1543,Darci
1544,Darcie
1545,Darcy
1546,Darell
1547,Daren
1548,Daria
1549,Darin
1550,Dario
1551,Darius
1552,Darla
1553,Darleen
1554,Darlena
1555,Darlene
1556,Darline
1557,Darnell
1559,Daron
1560,Darrel
1561,Darrell
1562,Darren
1563,Darrick
1564,Darrin
1565,Darron
1566,Darryl
1567,Darwin
1568,Daryl
1570,Dave
1571,David
1573,Davida
1574,Davina
1575,Davis
1576,Dawn
1577,Dawna
1578,Dawne
1579,Dayle
1580,Dayna
1581,Daysi
1582,Deadra
1583,Dean
1585,Deana
1586,Deandra
1587,Deandre
1588,Deandrea
1589,Deane
1590,Deangelo
1591,Deann
1592,Deanna
1593,Deanne
1594,Deb
1595,Debbi
1596,Debbie
1597,Debbra
1598,Debby
1599,Debera
1600,Debi
1601,Debora
1602,Deborah
1603,Debra
1604,Debrah
1605,Debroah
1606,Dede
1607,Dedra
1608,Dee
1610,Deeann
1611,Deeanna
1612,Deedee
1613,Deedra
1614,Deena
1615,Deetta
1616,Deidra
1617,Deidre
1618,Deirdre
1619,Deja
1620,Del
1621,Delaine
1622,Delana
1623,Delbert
1624,Delcie
1625,Delena
1626,Delfina
1627,Delia
1628,Delicia
1629,Delila
1630,Delilah
1631,Delinda
1632,Delisa
1633,Dell
1634,Della
1635,Delma
1636,Delmar
1637,Delmer
1638,Delmy
1639,Delois
1640,Deloise
1641,Delora
1642,Deloras
1643,Delores
1644,Deloris
1645,Delorse
1646,Delpha
1647,Delphia
1648,Delphine
1649,Delsie
1650,Delta
1651,Demarcus
1652,Demetra
1653,Demetria
1654,Demetrice
1655,Demetrius
1657,Dena
1658,Denae
1659,Deneen
1660,Denese
1661,Denice
1662,Denis
1663,Denise
1664,Denisha
1665,Denisse
1666,Denita
1667,Denna
1668,Dennis
1670,Dennise
1671,Denny
1673,Denver
1674,Denyse
1675,Deon
1677,Deonna
1678,Derek
1679,Derick
1680,Derrick
1681,Deshawn
1682,Desirae
1683,Desire
1684,Desiree
1685,Desmond
1686,Despina
1687,Dessie
1688,Destiny
1689,Detra
1690,Devin
1692,Devon
1694,Devona
1695,Devora
1696,Devorah
1697,Dewayne
1698,Dewey
1699,Dewitt
1700,Dexter
1701,Dia
1702,Diamond
1703,Dian
1705,Diane
1706,Diann
1707,Dianna
1708,Dianne
1709,Dick
1710,Diedra
1711,Diedre
1712,Diego
1713,Dierdre
1714,Digna
1715,Dillon
1716,Dimple
1717,Dina
1718,Dinah
1719,Dino
1720,Dinorah
1721,Dion
1723,Dione
1724,Dionna
1725,Dionne
1726,Dirk
1727,Divina
1728,Dixie
1729,Dodie
1730,Dollie
1731,Dolly
1732,Dolores
1733,Doloris
1734,Domenic
1735,Domenica
1736,Dominga
1737,Domingo
1738,Dominic
1739,Dominica
1740,Dominick
1741,Dominique
1743,Dominque
1744,Domitila
1745,Domonique
1747,Dona
1748,Donald
1750,Donella
1751,Donetta
1752,Donette
1753,Dong
1755,Donita
1756,Donn
1757,Donna
1758,Donnell
1759,Donnetta
1760,Donnette
1761,Donnie
1763,Donny
1764,Donovan
1765,Donte
1766,Donya
1767,Dora
1768,Dorathy
1769,Dorcas
1770,Doreatha
1771,Doreen
1772,Dorene
1773,Doretha
1774,Dorethea
1775,Doretta
1776,Dori
1777,Doria
1778,Dorian
1780,Dorie
1781,Dorinda
1782,Dorine
1783,Doris
1784,Dorla
1785,Dorotha
1786,Dorothea
1787,Dorothy
1788,Dorris
1789,Dorsey
1790,Dortha
1791,Dorthea
1792,Dorthey
1793,Dorthy
1794,Dot
1795,Dottie
1796,Dotty
1797,Doug
1798,Douglas
1799,Douglass
1800,Dovie
1801,Doyle
1802,Dreama
1803,Drema
1804,Drew
1806,Drucilla
1807,Drusilla
1808,Duane
1809,Dudley
1810,Dulce
1811,Dulcie
1812,Duncan
1813,Dung
1814,Dusti
1815,Dustin
1816,Dusty
1818,Dwain
1819,Dwana
1820,Dwayne
1821,Dwight
1822,Dyan
1824,Earl
1825,Earle
1826,Earlean
1827,Earleen
1828,Earlene
1829,Earlie
1830,Earline
1831,Earnest
1832,Earnestine
1833,Eartha
1834,Easter
1835,Eboni
1836,Ebonie
1837,Ebony
1838,Echo
1839,Ed
1840,Eda
1841,Edda
1842,Eddie
1844,Eddy
1845,Edelmira
1846,Eden
1847,Edgar
1848,Edgardo
1849,Edie
1850,Edison
1851,Edith
1852,Edmond
1853,Edmund
1854,Edmundo
1855,Edna
1856,Edra
1857,Edris
1858,Eduardo
1859,Edward
1861,Edwardo
1862,Edwin
1863,Edwina
1864,Edyth
1865,Edythe
1866,Effie
1867,Efrain
1868,Efren
1869,Ehtel
1870,Eileen
1871,Eilene
1872,Ela
1873,Eladia
1874,Elaina
1876,Elana
1877,Elane
1878,Elanor
1879,Elayne
1880,Elba
1881,Elbert
1882,Elda
1883,Elden
1884,Eldon
1885,Eldora
1886,Eldridge
1887,Eleanor
1888,Eleanora
1889,Eleanore
1890,Elease
1891,Elena
1892,Elene
1893,Eleni
1894,Elenor
1895,Elenora
1896,Elenore
1897,Eleonor
1898,Eleonora
1899,Eleonore
1900,Elfreda
1901,Elfrieda
1902,Elfriede
1903,Eli
1904,Elia
1905,Eliana
1906,Elias
1907,Elicia
1908,Elida
1909,Elidia
1910,Elijah
1911,Elin
